id,movie_id,keyword_id
344,44833,227329
345,135397,1299
346,135397,1718
347,135397,1720
348,135397,1766
349,135397,2041
350,135397,9663
351,135397,9937
352,135397,10617
353,135397,10685
354,135397,12616
355,135397,155582
356,135397,158130
357,135397,158340
358,135397,178010
359,135397,209714
360,135397,223059
361,37724,470
362,37724,4289
363,37724,9740
364,37724,15127
365,37724,15478
366,37724,156095
367,37724,156345
368,37724,156395
369,37724,159932
370,37724,163841
371,37724,185071
372,37724,185077
373,558,851
374,558,2038
375,558,5983
376,558,8828
377,558,9663
378,558,9715
379,558,13005
380,558,14760
381,558,14991
382,558,34079
383,558,163074
384,68721,949
385,68721,5597
386,68721,6335
387,68721,8613
388,68721,8828
389,68721,9715
390,68721,9717
391,68721,12555
392,68721,173776
393,68721,179430
394,68721,180547
395,68721,188721
396,68721,209714
397,68721,209748
398,68721,209822
399,68721,209823
400,12155,818
401,12155,855
402,12155,2011
403,12155,2486
404,12155,12552
405,12155,170362
406,12155,209714
407,36668,1852
408,36668,8828
409,36668,9717
410,36668,10761
411,36668,161271
412,36668,161893
413,36668,179430
414,62211,1299
415,62211,5984
416,62211,6186
417,62211,10336
418,62211,12392
419,62211,13160
420,62211,163303
421,62211,179430
422,8373,1160
423,8373,1670
424,8373,4630
425,8373,8264
426,8373,9854
427,8373,10607
428,8373,11117
429,8373,14544
430,8373,156395
431,8373,179431
432,91314,9663
433,91314,9951
434,91314,10607
435,91314,10891
436,91314,14544
437,91314,156395
438,91314,166594
439,68728,291
440,68728,616
441,68728,2343
442,68728,3929
443,68728,4662
444,68728,44451
445,68728,172365
446,68728,177912
447,68728,209714
448,102382,1523
449,102382,8828
450,102382,9663
451,102382,9717
452,102382,13040
453,102382,33977
454,102382,41594
455,102382,163455
456,20526,310
457,20526,1308
458,20526,4286
459,20526,4565
460,20526,6104
461,20526,9758
462,20526,12965
463,20526,14735
464,20526,185351
465,20526,236778
466,49013,830
467,49013,9663
468,49013,10267
469,49013,11500
470,49013,12392
471,49013,179431
472,44912,849
473,44912,4375
474,44912,9715
475,44912,9951
476,44912,15250
477,44912,15252
478,44912,15254
479,44912,163455
480,44912,202540
481,44912,209714
482,10193,1562
483,10193,3616
484,10193,4290
485,10193,5462
486,10193,10336
487,10193,10685
488,10193,33794
489,10193,158162
490,10193,179431
491,10193,187065
492,10193,209386
493,10193,209387
494,10193,224516
495,534,83
496,534,310
497,534,530
498,534,582
499,534,679
500,534,1373
501,534,1420
502,534,4458
503,534,4565
504,534,6092
505,534,6112
506,534,11159
507,534,12670
508,168259,830
509,168259,3428
510,168259,9748
511,168259,9937
512,168259,33885
513,168259,40870
514,168259,205399
515,72190,4565
516,72190,12332
517,72190,12377
518,72190,160381
519,72190,180635
520,72190,186565
521,127585,1228
522,127585,1852
523,127585,4379
524,127585,8828
525,127585,9717
526,127585,10761
527,127585,14527
528,127585,161271
529,127585,179430
530,127585,206736
531,54138,1612
532,54138,6054
533,54138,9663
534,54138,9685
535,54138,9882
536,54138,9951
537,54138,156395
538,54138,161176
539,54138,179569
540,54138,209714
541,81005,179411
542,81005,189099
543,64682,818
544,64682,1326
545,64682,1523
546,64682,3929
547,64682,209714
548,9543,1241
549,9543,1965
550,9543,12653
551,9543,12654
552,9543,12655
553,9543,41645
554,68726,4565
555,68726,10891
556,68726,11100
557,68726,12332
558,68726,156395
559,68726,179431
560,68726,209714
561,38356,305
562,38356,1612
563,38356,2052
564,38356,3088
565,38356,10158
566,38356,10244
567,38356,10607
568,38356,10891
569,38356,15246
570,38356,15247
571,38356,15248
572,38356,179431
573,217,83
574,217,483
575,217,1294
576,217,1454
577,217,1547
578,217,2650
579,217,4276
580,217,4939
581,217,5566
582,217,5967
583,217,6956
584,217,9830
585,217,18524
586,217,41586
587,217,176731
588,217,184134
589,105864,1720
590,105864,9713
591,105864,12026
592,105864,12616
593,105864,13073
594,105864,14527
595,105864,18330
596,105864,187864
597,105864,189092
598,62177,388
599,62177,526
600,62177,3930
601,62177,4152
602,62177,4393
603,62177,4896
604,62177,10468
605,62177,14753
606,62177,15161
607,62177,41538
608,62177,53995
609,62177,162715
610,62177,179430
611,62177,181181
612,62177,187056
613,62177,189098
614,62177,209714
615,188927,9663
616,188927,9743
617,188927,158449
618,188927,161176
619,10681,9799
620,5174,1704
621,14161,2163
622,14161,5096
623,14161,10150
624,14161,10617
625,14161,12332
626,14161,14796
627,14161,163398
628,14161,208090
629,14161,230910
630,14161,232318
631,14161,232339
632,17979,65
633,17979,818
634,17979,8250
635,17979,10594
636,17979,33965
637,17979,33966
638,17979,161174
639,17979,162846
640,17979,170457
641,17979,180975
642,17979,207317
643,76757,306
644,76757,9882
645,76757,187056
646,76757,209714
647,76757,212760
648,258489,409
649,258489,5650
650,258489,7347
651,258489,10787
652,258489,158130
653,411,83
654,411,616
655,411,818
656,411,1155
657,411,1430
658,411,1442
659,411,1990
660,411,2042
661,411,2043
662,411,6187
663,411,14643
664,411,166930
665,411,170362
666,411,179431
667,246655,1852
668,246655,4769
669,246655,8828
670,246655,9715
671,246655,9717
672,246655,10761
673,246655,12332
674,246655,155030
675,246655,176217
676,246655,179430
677,246655,208289
678,155,849
679,155,853
680,155,1308
681,155,3151
682,155,4426
683,155,4630
684,155,6969
