id,from_movie_id,to_movie_id,sim_cos
191,10514,11544,0.0765331
192,10523,9440,0.2004674
193,10523,1777,0.17111757
194,10523,2359,0.15787922
195,10523,20829,0.113247596
196,10523,11600,0.10605486
197,10523,15639,0.10522641
198,10523,9087,0.10435436
199,10523,66,0.09943362
200,10530,11400,0.20382431
201,10530,9361,0.15455808
202,10530,302579,0.12973411
203,10530,57120,0.12393784
204,10530,581,0.10125196
205,10530,79698,0.09868699
206,10530,4523,0.09437148
207,10530,8584,0.08816186
208,10534,92635,0.1989318
209,10534,1865,0.13865858
210,10534,1391,0.13841188
211,10534,24684,0.12975588
212,10534,10398,0.12822449
213,10534,115872,0.12297524
214,10534,146882,0.117812455
215,10534,10339,0.11253188
216,10557,11240,0.17177647
217,10557,32222,0.13343175
218,10557,9882,0.11352411
219,10557,13007,0.11282839
220,10557,82505,0.09990878
221,10557,1883,0.097676195
222,10557,51820,0.08571281
223,10557,66025,0.0818936
224,10563,65749,0.17672095
225,10563,39141,0.13790998
226,10563,22597,0.13580425
227,10563,8999,0.124592274
228,10563,10555,0.12192502
229,10563,7326,0.103917055
230,10563,96534,0.103894025
231,10563,17127,0.100394405
232,10569,250066,0.2901553
233,10569,1969,0.28608388
234,10569,507,0.26556572
235,10569,137347,0.24470371
236,10569,2084,0.20271213
237,10569,3172,0.19814672
238,10569,10034,0.18880376
239,10569,42807,0.18781102
240,10586,15907,0.11748536
241,10586,56930,0.0920226
242,10586,2989,0.08781334
243,10586,606,0.07308915
244,10586,24137,0.06933727
245,10586,354110,0.06715366
246,10586,258489,0.06326689
247,10586,11400,0.061825067
248,10589,23988,0.2080625
249,10589,9457,0.11335389
250,10589,45380,0.086071245
251,10589,127493,0.08004823
252,10589,59108,0.07827149
253,10589,19150,0.07593174
254,10589,257088,0.07471097
255,10589,14034,0.072521
256,10603,258489,0.16776618
257,10603,14873,0.11817202
258,10603,9975,0.110969976
259,10603,278927,0.095331326
260,10603,34653,0.095212944
261,10603,13788,0.09398187
262,10603,283671,0.08516243
263,10603,14849,0.07491327
264,10628,12085,0.11105315
265,10628,24266,0.09292602
266,10628,62206,0.08707416
267,10628,6972,0.0869233
268,10628,244783,0.08677872
269,10628,136400,0.085299745
270,10628,20468,0.084202684
271,10628,203,0.08323785
272,10637,232679,0.26734555
273,10637,11170,0.2667626
274,10637,9563,0.2274338
275,10637,59728,0.22245441
276,10637,18925,0.16757096
277,10637,9766,0.16183811
278,10637,14709,0.15849122
279,10637,14325,0.154466
280,10646,10220,0.28552687
281,10646,9464,0.18826292
282,10646,265208,0.18541259
283,10646,9894,0.13321216
284,10646,146238,0.12974204
285,10646,41210,0.103196934
286,10646,137093,0.09904611
287,10646,10029,0.093453325
288,10664,94329,0.17175233
289,10664,8329,0.118412994
290,10664,3179,0.09925369
291,10664,1573,0.09690726
292,10664,2667,0.08493998
293,10664,663,0.08470154
294,10664,9697,0.08134854
295,10664,10676,0.07793264
296,10676,10214,0.11701238
297,10676,103370,0.09725905
298,10676,788,0.094955646
299,10676,948,0.08521519
300,10676,10987,0.0841489
301,10676,279759,0.07858998
302,10676,10664,0.07793264
303,10676,82679,0.07728475
304,106845,82654,0.27553165
305,106845,312793,0.21995345
306,106845,29426,0.17990656
307,106845,53502,0.17787702
308,106845,58431,0.1671051
309,106845,10331,0.16580798
310,106845,11683,0.16105321
311,106845,8408,0.15428542
312,10685,12569,0.24221185
313,10685,8080,0.16059777
314,10685,9533,0.11821333
315,10685,10871,0.112482935
316,10685,176,0.10912367
317,10685,8090,0.10492124
318,10685,8836,0.09596545
319,10685,10550,0.095510304
320,10710,163,0.13379441
321,10710,82687,0.12646723
322,10710,31535,0.1171726
323,10710,9517,0.10857273
324,10710,28178,0.099140964
325,10710,25941,0.09220531
326,10710,9928,0.09207542
327,10710,246403,0.09079254
328,10718,9659,0.29436347
329,10718,21338,0.2908683
330,10718,204082,0.22883801
331,10718,62728,0.1340467
332,10718,2034,0.1339395
333,10718,1725,0.13239531
334,10718,227,0.12795411
335,10718,10045,0.123056896
336,10758,11091,0.123206526
337,10758,1989,0.12191638
